;Company;Job;Location;Salary;Salary_2;Sal_avg
277;Stackfolio;Lead Data Scientist;Atlanta, GA 30308 (Old Fourth Ward area);80000;0;80000
327;Interesse International Inc;Market Research & Sales Analyst;Atlanta, GA;60000;70000;65000
331;Emory University;Sponsored Research Financial Analyst;Atlanta, GA;66700;0;66700
363;Centers for Disease Control and Prevention;Health Scientist;Atlanta, GA;74260;96538;85399
364;Centers for Disease Control and Prevention;Health Scientist (Informatics);Atlanta, GA;74260;114802;94531
365;Emory University;Staff Scientist (Goldsmith Lab);Atlanta, GA;85500;0;85500
367;U.S. Department of Labor;Economist/Statistician;Atlanta, GA;61956;96538;79247
372;Centers for Disease Control and Prevention;Lead Statistician (Health);Atlanta, GA;104349;135656;120002
425;Analytic Recruiting;Junior Data Scientist;Alpharetta, GA;75000;90000;82500
511;Ga. Dept. of Transportation;Statistical Analyst 1 (PG-H) - Office TransData -One GA Cent...;Atlanta, GA;36000;0;36000
626;CSTE;Associate Research Analyst;Atlanta, GA 30341;51706;0;51706
630;SearchAccountingJobs;Lead Quantitative Analyst;Atlanta, GA;150000;205000;177500
740;Georgia Department of Public Health;Laboratory Aide 3;Atlanta, GA;24000;0;24000
859;eHire;Sr Data Scientist (AWS);Atlanta, GA 30309 (Midtown area);150000;0;150000
40;University of Texas at Dallas;Research Scientist;Richardson, TX;46000;50000;48000
62;Oscar Technology;Data Science Director;Dallas-Fort Worth, TX;180000;0;180000
68;TEKSystems;Data Scientist;Dallas, TX;100000;105000;102500
77;Selby Jennings;Catastrophe Risk Analyst - Quantitative;Dallas, TX;75000;120000;97500
100;BAIR;Emissions Analyst/Stack Tester-Environmental/Regulatory Comp...;Dallas-Fort Worth, TX;65000;0;65000
120;NextStep Recruiting;Pricing and Quantitative Analyst;Irving, TX 75063;85000;0;85000
152;All-In Analytics;Senior Marketing Data Scientist;Dallas, TX;80000;100000;90000
243;Lighthouse Recruiting;Genetic Counselor, Clinical Genomics;Plano, TX;80000;110000;95000
266;Boy Scouts of America;Senior Statistical Data Coordinator;Irving, TX 75038;45000;55000;50000
362;TEKSystems;Data Engineer;Irving, TX;80000;100000;90000
216;The University of Pittsburgh;Clinical Research Program Coordinator;Pittsburgh, PA;40092;65676;52884
419;The University of Pittsburgh;Program Statistician;Pittsburgh, PA;30732;49296;40014
461;The University of Pittsburgh;Research Technician;Pittsburgh, PA;30732;49296;40014
462;The University of Pittsburgh;Laboratory Technician;Pittsburgh, PA;23868;37752;30810
870;All-In Analytics;Senior Statistician;Pittsburgh, PA;53000;98000;75500
81;Columbia River Inter-Tribal Fish Commission (CRITF...;Fishery Biologist;Portland, OR;49751;53067;51409
331;Acumen Executive Search;Corporate Account Manager;Beaverton, OR 97006 (Triple Creek area);100000;0;100000
340;Portland State University;Research Data Analyst;Portland, OR;58000;62000;60000
348;Cascade Insights;Prospector;Portland, OR 97213 (Roseway area);45000;0;45000
39;State of Arizona;COMPLIANCE OFFICER;Phoenix, AZ 85012 (Alhambra area);40000;50000;45000
161;State of Arizona;WILDLIFE SPECIALIST 3 - CORNVILLE, AZ BASED;Phoenix, AZ 85012 (Alhambra area);39983;58000;48991
168;Arizona Health Care Cost Containment System;RESEARCH AND STATISTICAL ANALYST;Phoenix, AZ;39983;55500;47741
169;Arizona State University;ASSISTANT RESEARCH SCIENTIST;Tempe, AZ;50000;60000;55000
210;Maricopa County Community College District;Institutional Research Analyst (Specially Funded/Open Until...;Phoenix, AZ;50958;60512;55735
211;Maricopa County, AZ;Research Analyst;Phoenix, AZ 85003 (Central City area);44616;82618;63617
216;Arizona State University;Management Research Analyst;Tempe, AZ;47476;50000;48738
238;Career Evolutions;Data Services Engineer;Phoenix, AZ;150000;0;150000
241;Career Evolutions;Data Architect;Phoenix, AZ;150000;0;150000
243;Arizona Health Care Cost Containment System;DATA ANALYSIS AND RESEARCH MANAGER;Phoenix, AZ;65000;72000;68500
266;Arizona Supreme Court;Data Statistical Specialist (Job 2105);Phoenix, AZ;56677;0;56677
267;SearchBankingJobs;Quantitative Analyst Manager;Phoenix, AZ;150000;205000;177500
275;SiteLock;Web Security Research Analyst;Scottsdale, AZ;50000;55000;52500
342;State of Arizona;Senior Epidemiologist;Phoenix, AZ 85012 (Alhambra area);60000;0;60000
345;State of Arizona;Epidemiology Program Manager;Phoenix, AZ 85012 (Alhambra area);65000;0;65000
347;Arizona State University;Program Manager, CAP LTER;Tempe, AZ;47476;52000;49738
40;City of Englewood, CO;Environmental Services Manager;Englewood, CO;84900;127300;106100
135;National Geospatial-Intelligence Agency;R & D Scientist;Buckley AFB, CO;63691;118018;90854
269;Denver Health;RN-Statistical Research Specilist Nursing;Denver, CO 80204 (Central West Denver area);66654;0;66654
333;10Roof Technology;Big Data Developer (Spark, Hadoop, Hive);Denver, CO;105000;0;105000
336;Denver Public Schools;RESEARCH ANALYST;Denver, CO;57580;69098;63339
359;Denver Health;Business Manager - RADARS;Denver, CO 80204 (Central West Denver area);88091;0;88091
361;University of Colorado;Managing Director for STROBE;Boulder, CO;100000;115000;107500
470;Denver Public Schools;SENIOR RESEARCH ANALYST, TEACHING AND LEARNING;Denver, CO;63339;76007;69673
471;Community College of Aurora;Research Analyst;Aurora, CO;40000;0;40000
481;University of Colorado;Health & Human Sciences Librarian;Boulder, CO;50500;0;50500
511;MycoTechnology;Food / Flavor Application Scientist;Aurora, CO 80011 (Norfolk Glen area);50000;0;50000
516;University of Colorado;Senior Informatics Analyst;Aurora, CO;68000;0;68000
544;University of Colorado;Bioinformationist;Aurora, CO;50000;63000;56500
623;xentity corporation;Government Enterprise Architect;Denver, CO;95000;127000;111000
654;Lauren Enterprises;Food Scientist: Chemistry & Formulations;Denver, CO 80226;35000;0;35000
685;Potatoes USA;Global Marketing Manager - Food Manufacturing;Denver, CO;85000;0;85000
65;Baylor College of Medicine;Sr. Bioinformatics Programmer;Houston, TX;70000;91000;80500
171;Baylor College of Medicine;Research Financial Analyst II;Houston, TX;65000;0;65000
214;Selby Jennings;Senior Predictive Modeling Actuary;Houston, TX;70000;130000;100000
361;Selby Jennings;Catastrophe Risk Analyst - Quantitative;Houston, TX;75000;120000;97500
770;Rekruiters;C++ Software Engineer;Houston, TX 77006 (Montrose area);250000;0;250000
888;Baylor College of Medicine;Senior Research Policy Analyst;Houston, TX;72000;0;72000
897;SearchBankingJobs;Quantitative Risk Analyst;Houston, TX;150000;205000;177500
900;Baylor College of Medicine;Lead Bioinformatics Programmer;Houston, TX;83000;102000;92500
3;Staffing Resource Group;QC Chemist;Miami, FL;50000;0;50000
17;University of Miami;Sr. Research Analyst / Pre-award Grants;Coral Gables, FL;40000;72000;56000
101;University of Miami;Assistant Scientist;Coral Gables, FL;53900;96900;75400
103;University of Miami;Scientist;Coral Gables, FL;77600;139600;108600
107;University of Miami;(Temporary) Research Analyst;Coral Gables, FL;38750;62000;50375
195;University of Miami;Lead Research Analyst (Biostatistics);Coral Gables, FL;77600;108600;93100
196;University of Miami;Senior Research Analyst;Coral Gables, FL;40000;56000;48000
321;Smith Hanley Associates;Statistical Operations Research Analyst;Miami, FL;75000;95000;85000
322;University of Miami;Statistical Programmer;Coral Gables, FL;32900;0;32900
325;University of Miami;Research Analyst;Coral Gables, FL;32900;59100;46000
329;University of Miami;Financial Analyst (Clinical Research Revenue);Coral Gables, FL;38750;51000;44875
